fractal = parity n position (accelerable interval)
Parity is Even or Odd
Even n = starts with rules ij^n
Odd n = starts with rules j^n
position: position in fractal, represented as (L[LR]*)|End

# big steps | # A(1,c) steps | # A(a,c) steps:  A(1, c); fractal, fractal
64 | 40044 | 719981:  A(1, 1756854); Even 12 LRR 1823124 1858096, Odd 13 LL 1747731 1836079
65 | 41160 | 746269:  A(1, 1823141); Even 12 LRR 1823124 1858096, Odd 13 LL 1747731 1836079
68 | 42718 | 779561:  A(1, 1906860); Even 12 End 1913156 3188612, Odd 13 LLR 1900125 1933843
69 | 42822 | 782179:  A(1, 1913165); Even 12 End 1913156 3188612, Odd 13 LLR 1900125 1933843
70 | 43313 | 790774:  A(1, 1933374); Even 12 End 1913156 3188612, Odd 13 L 1986741 2265581
71 | 44287 | 812310:  A(1, 1986743); Even 12 End 1913156 3188612, Odd 13 L 1986741 2265581
72 | 51257 | 930800:  A(1, 2265541); Even 12 End 1913156 3188612, Odd 13 LRL 2363891 2416309
73 | 52900 | 969420:  A(1, 2363907); Even 12 End 1913156 3188612, Odd 13 LRL 2363891 2416309
76 | 55139 | 1012880:  A(1, 2470862); Even 12 End 1913156 3188612, Odd 13 LR 2499457 2635479
77 | 55647 | 1024492:  A(1, 2499557); Even 12 End 1913156 3188612, Odd 13 LR 2499457 2635479
80 | 60262 | 1112018:  A(1, 2700731); Even 12 End 1913156 3188612, Odd 13 LRR 2734703 2787163
81 | 60877 | 1125863:  A(1, 2734750); Even 12 End 1913156 3188612, Odd 13 LRR 2734703 2787163
86 | 63478 | 1179269:  A(1, 2860301); Even 12 End 1913156 3188612, Odd 13 End 2869753 4782937
87 | 63648 | 1183314:  A(1, 2869794); Even 12 End 1913156 3188612, Odd 13 End 2869753 4782937
88 | 73025 | 1323969:  A(1, 3188611); Even 13 LL 3495488 3672190, Odd 13 End 2869753 4782937
89 | 78091 | 1443180:  A(1, 3495508); Even 13 LL 3495488 3672190, Odd 13 End 2869753 4782937
90 | 82500 | 1520340:  A(1, 3671887); Even 13 LLR 3800274 3867718, Odd 13 End 2869753 4782937
91 | 84561 | 1570512:  A(1, 3800312); Even 13 LLR 3800274 3867718, Odd 13 End 2869753 4782937
94 | 87472 | 1628321:  A(1, 3937449); Even 13 L 3973510 4531194, Odd 13 End 2869753 4782937
95 | 88108 | 1643066:  A(1, 3973543); Even 13 L 3973510 4531194, Odd 13 End 2869753 4782937
96 | 101177 | 1878305:  A(1, 4531144); Even 13 LRL 4727808 4832648, Odd 13 End 2869753 4782937
97 | 104321 | 1955045:  A(1, 4727832); Even 13 LRL 4727808 4832648, Odd 13 End 2869753 4782937
98 | 105609 | 1978229:  A(1, 4782756); Even 13 LR 4998940 5270988, Odd 14 LLL 4977137 5080267
99 | 108646 | 2060573:  A(1, 4998977); Even 13 LR 4998940 5270988, Odd 14 LLL 4977137 5080267
100 | 110116 | 2092913:  A(1, 5079617); Even 13 LR 4998940 5270988, Odd 14 LL 5243251 5508309
101 | 113518 | 2157682:  A(1, 5243290); Even 13 LR 4998940 5270988, Odd 14 LL 5243251 5508309
104 | 116218 | 2220068:  A(1, 5401442); Even 13 LRR 5469432 5574358, Odd 14 LL 5243251 5508309
105 | 117286 | 2247196:  A(1, 5469515); Even 13 LRR 5469432 5574358, Odd 14 LL 5243251 5508309
108 | 121956 | 2350912:  A(1, 5720624); Even 13 End 5739530 9565902, Odd 14 LLR 5700431 5801599
109 | 122258 | 2358724:  A(1, 5739572); Even 13 End 5739530 9565902, Odd 14 LLR 5700431 5801599
112 | 125529 | 2427216:  A(1, 5906163); Even 13 End 5739530 9565902, Odd 14 L 5960283 6796813
113 | 126475 | 2449485:  A(1, 5960356); Even 13 End 5739530 9565902, Odd 14 L 5960283 6796813
114 | 147386 | 2825881:  A(1, 6796795); Even 13 End 5739530 9565902, Odd 14 LRL 7091733 7248995
115 | 152113 | 2942295:  A(1, 7091759); Even 13 End 5739530 9565902, Odd 14 LRL 7091733 7248995
120 | 159603 | 3097831:  A(1, 7469531); Even 13 End 5739530 9565902, Odd 14 LR 7498429 7906503
121 | 160084 | 3109610:  A(1, 7498463); Even 13 End 5739530 9565902, Odd 14 LR 7498429 7906503
126 | 174324 | 3398461:  A(1, 8169944); Even 13 End 5739530 9565902, Odd 14 LRR 8204167 8361557
127 | 174900 | 3412546:  A(1, 8204185); Even 13 End 5739530 9565902, Odd 14 LRR 8204167 8361557
136 | 182547 | 3578652:  A(1, 8599869); Even 13 End 5739530 9565902, Odd 14 End 8609313 14348873
137 | 182706 | 3582693:  A(1, 8609338); Even 13 End 5739530 9565902, Odd 14 End 8609313 14348873
138 | 209276 | 4007813:  A(1, 9565858); Even 14 LLL 9954302 10160570, Odd 14 End 8609313 14348873
139 | 215371 | 4159423:  A(1, 9954326); Even 14 LLL 9954302 10160570, Odd 14 End 8609313 14348873
140 | 218850 | 4239440:  A(1, 10159852); Even 14 LL 10486532 11016652, Odd 14 End 8609313 14348873
141 | 223898 | 4367894:  A(1, 10486537); Even 14 LL 10486532 11016652, Odd 14 End 8609313 14348873
144 | 240268 | 4696636:  A(1, 11268780); Even 14 LLR 11400892 11603232, Odd 14 End 8609313 14348873
145 | 242254 | 4748823:  A(1, 11400941); Even 14 LLR 11400892 11603232, Odd 14 End 8609313 14348873
150 | 251754 | 4951601:  A(1, 11884410); Even 14 L 11920594 13593660, Odd 14 End 8609313 14348873
151 | 252355 | 4966646:  A(1, 11920595); Even 14 L 11920594 13593660, Odd 14 End 8609313 14348873
154 | 293247 | 5780127:  A(1, 13980816); Even 14 LRL 14183494 14498022, Odd 14 End 8609313 14348873
155 | 296314 | 5860396:  A(1, 14183524); Even 14 LRL 14183494 14498022, Odd 14 End 8609313 14348873
164 | 333525 | 6730427:  A(1, 16339857); Even 14 LRR 16408362 16723146, Odd 15 LL 15729819 16525003
165 | 334548 | 6758044:  A(1, 16408382); Even 14 LRR 16408362 16723146, Odd 15 LL 15729819 16525003
172 | 348967 | 7093983:  A(1, 17199502); Even 14 End 17218654 28697776, Odd 15 LLR 17101359 17404873
173 | 349261 | 7102048:  A(1, 17218667); Even 14 End 17218654 28697776, Odd 15 LLR 17101359 17404873
178 | 360651 | 7356163:  A(1, 17826714); Even 14 End 17218654 28697776, Odd 15 L 17880911 20390513
179 | 361535 | 7378755:  A(1, 17880919); Even 14 End 17218654 28697776, Odd 15 L 17880911 20390513
182 | 429475 | 8726803:  A(1, 20971313); Even 14 End 17218654 28697776, Odd 15 LRL 21275261 21747057
183 | 434058 | 8848127:  A(1, 21275312); Even 14 End 17218654 28697776, Odd 15 LRL 21275261 21747057
190 | 456512 | 9341238:  A(1, 22466695); Even 14 End 17218654 28697776, Odd 15 LR 22495349 23719583
191 | 456980 | 9353302:  A(1, 22495363); Even 14 End 17218654 28697776, Odd 15 LR 22495349 23719583
200 | 497029 | 10213523:  A(1, 24578243); Even 14 End 17218654 28697776, Odd 15 LRR 24612563 25084741
201 | 497576 | 10227807:  A(1, 24612622); Even 14 End 17218654 28697776, Odd 15 LRR 24612563 25084741
216 | 520550 | 10750101:  A(1, 25818447); Even 14 End 17218654 28697776, Odd 15 End 25827999 43046685
217 | 520701 | 10754231:  A(1, 25828015); Even 14 End 17218654 28697776, Odd 15 End 25827999 43046685
218 | 596221 | 12038071:  A(1, 28697775); Even 15 LLL 29862982 30481798, Odd 15 End 25827999 43046685
219 | 613905 | 12496907:  A(1, 29862996); Even 15 LLL 29862982 30481798, Odd 15 End 25827999 43046685
222 | 633727 | 12992617:  A(1, 31126600); Even 15 LL 31459670 33050044, Odd 15 End 25827999 43046685
223 | 638651 | 13126510:  A(1, 31459742); Even 15 LL 31459670 33050044, Odd 15 End 25827999 43046685
228 | 689501 | 14221918:  A(1, 34070656); Even 15 LLR 34202750 34809782, Odd 15 End 25827999 43046685
229 | 691392 | 14274852:  A(1, 34202801); Even 15 LLR 34202750 34809782, Odd 15 End 25827999 43046685
238 | 720215 | 14922666:  A(1, 35725512); Even 15 L 35761852 40781060, Odd 15 End 25827999 43046685
239 | 720797 | 14938045:  A(1, 35761921); Even 15 L 35761852 40781060, Odd 15 End 25827999 43046685
244 | 848922 | 17647846:  A(1, 42346312); Even 15 LRL 42550550 43494148, Odd 15 End 25827999 43046685
245 | 851870 | 17730518:  A(1, 42550566); Even 15 LRL 42550550 43494148, Odd 15 End 25827999 43046685
262 | 962988 | 20444877:  A(1, 49156522); Even 15 LRR 49225154 50169518, Odd 16 LL 47189525 49575091
263 | 963972 | 20473053:  A(1, 49225181); Even 15 LRR 49225154 50169518, Odd 16 LL 47189525 49575091
274 | 1006648 | 21511466:  A(1, 51636718); Even 15 End 51656028 86093402, Odd 16 LLR 51304147 52214699
275 | 1006925 | 21519582:  A(1, 51656055); Even 15 End 51656028 86093402, Odd 16 LLR 51304147 52214699
284 | 1041341 | 22328213:  A(1, 53588338); Even 15 End 51656028 86093402, Odd 16 L 53642801 61171615
285 | 1042179 | 22351008:  A(1, 53642807); Even 15 End 51656028 86093402, Odd 16 L 53642801 61171615
290 | 1234367 | 26424622:  A(1, 63519559); Even 15 End 51656028 86093402, Odd 16 LRL 63825847 65241247
291 | 1238805 | 26549765:  A(1, 63825879); Even 15 End 51656028 86093402, Odd 16 LRL 63825847 65241247
300 | 1304251 | 28053593:  A(1, 67400155); Even 15 End 51656028 86093402, Odd 16 LR 67486113 71158825
301 | 1305587 | 28089769:  A(1, 67486168); Even 15 End 51656028 86093402, Odd 16 LR 67486113 71158825
316 | 1425813 | 30792650:  A(1, 73803171); Even 15 End 51656028 86093402, Odd 16 LRR 73837751 75254299
317 | 1426338 | 30807224:  A(1, 73837755); Even 15 End 51656028 86093402, Odd 16 LRR 73837751 75254299
342 | 1494502 | 32425250:  A(1, 77474595); Even 15 End 51656028 86093402, Odd 16 End 77484063 129140125
343 | 1494639 | 32429296:  A(1, 77484116); Even 15 End 51656028 86093402, Odd 16 End 77484063 129140125
346 | 1743944 | 37211766:  A(1, 88391326); Even 16 LLL 89589026 91445486, Odd 16 End 77484063 129140125
347 | 1761223 | 37689391:  A(1, 89589033); Even 16 LLL 89589026 91445486, Odd 16 End 77484063 129140125
352 | 1828508 | 39458284:  A(1, 94043862); Even 16 LL 94379086 99150220, Odd 16 End 77484063 129140125
353 | 1833205 | 39594086:  A(1, 94379086); Even 16 LL 94379086 99150220, Odd 16 End 77484063 129140125
362 | 1985111 | 43042238:  A(1, 102475182); Even 16 LLR 102608328 104429436, Odd 16 End 77484063 129140125
363 | 1986928 | 43096253:  A(1, 102608354); Even 16 LLR 102608328 104429436, Odd 16 End 77484063 129140125
378 | 2070893 | 45075236:  A(1, 107249170); Even 16 L 107285634 122343266, Odd 16 End 77484063 129140125
379 | 2071440 | 45090595:  A(1, 107285659); Even 16 L 107285634 122343266, Odd 16 End 77484063 129140125
388 | 2460216 | 53732290:  A(1, 127446054); Even 16 LRL 127651728 130482530, Odd 16 End 77484063 129140125
389 | 2463024 | 53815813:  A(1, 127651745); Even 16 LRL 127651728 130482530, Odd 16 End 77484063 129140125
418 | 2791496 | 62167871:  A(1, 147606322); Even 16 LRR 147675536 150508636, Odd 17 LL 141568651 148725355
419 | 2792443 | 62196407:  A(1, 147675552); Even 16 LRR 147675536 150508636, Odd 17 LL 141568651 148725355
438 | 2912512 | 65251206:  A(1, 154949234); Even 16 End 154968156 258280284, Odd 17 LLR 153912515 156644179
439 | 2912776 | 65259364:  A(1, 154968200); Even 16 End 154968156 258280284, Odd 17 LLR 153912515 156644179
454 | 3015300 | 67775415:  A(1, 160874038); Even 16 End 154968156 258280284, Odd 17 L 160928473 183514925
455 | 3016096 | 67798339:  A(1, 160928501); Even 16 End 154968156 258280284, Odd 17 L 160928473 183514925
464 | 3598401 | 80769266:  A(1, 191170367); Even 16 End 154968156 258280284, Odd 17 LRL 191477613 195723821
465 | 3602621 | 80895674:  A(1, 191477623); Even 16 End 154968156 258280284, Odd 17 LRL 191477613 195723821
480 | 3798061 | 85588897:  A(1, 202372135); Even 16 End 154968156 258280284, Odd 17 LR 202458411 213476553
481 | 3799345 | 85625603:  A(1, 202458472); Even 16 End 154968156 258280284, Odd 17 LR 202458411 213476553
504 | 4156473 | 94010096:  A(1, 221478376); Even 16 End 154968156 258280284, Odd 17 LRR 221513325 225762977
505 | 4156973 | 94024850:  A(1, 221513332); Even 16 End 154968156 258280284, Odd 17 LRR 221513325 225762977
546 | 4355353 | 98932027:  A(1, 232442767); Even 16 End 154968156 258280284, Odd 17 End 232452257 387420449
547 | 4355491 | 98936233:  A(1, 232452293); Even 16 End 154968156 258280284, Odd 17 End 232452257 387420449
552 | 5102873 | 114311151:  A(1, 267559572); Even 17 LLL 268767160 274336556, Odd 17 End 232452257 387420449
553 | 5119516 | 114798631:  A(1, 268767212); Even 17 LLL 268767160 274336556, Odd 17 End 232452257 387420449
562 | 5327935 | 120504735:  A(1, 282800916); Even 17 LL 283137336 297450752, Odd 17 End 232452257 387420449
563 | 5332405 | 120642165:  A(1, 283137342); Even 17 LL 283137336 297450752, Odd 17 End 232452257 387420449
572 | 5771762 | 131062588:  A(1, 307427492); Even 17 LLR 307825064 313288400, Odd 17 End 232452257 387420449
573 | 5777023 | 131224754:  A(1, 307825077); Even 17 LLR 307825064 313288400, Odd 17 End 232452257 387420449
594 | 6020364 | 137210579:  A(1, 321820539); Even 17 L 321856980 367029890, Odd 17 End 232452257 387420449
595 | 6020882 | 137226129:  A(1, 321857041); Even 17 L 321856980 367029890, Odd 17 End 232452257 387420449
610 | 7187271 | 164333325:  A(1, 382749936); Even 17 LRL 382955262 391447682, Odd 17 End 232452257 387420449
611 | 7189941 | 164417414:  A(1, 382955345); Even 17 LRL 382955262 391447682, Odd 17 End 232452257 387420449
